country       ,country_code ,indicator ,weekly_count ,rate_14_day            ,date       ,cumulative ,pandemic_wave    ,cases_per_million        ,month   ,quarter
Austria       ,AUT          ,cases     ,     10946.0 ,  286.353544698424     ,2021-01-11 ,  514330.0 ,First Wave       , 1225.3903202896695      ,2021-01 ,2021Q1
Austria       ,AUT          ,cases     ,     22326.0 ,  486.081195934382     ,2021-01-11 ,  536656.0 ,First Wave       , 2499.3663704355163      ,2021-01 ,2021Q1
Austria       ,AUT          ,cases     ,      2424.0 ,   62.512146432464     ,2021-01-11 ,  539080.0 ,First Wave       ,  271.36361560224367     ,2021-01 ,2021Q1
Austria       ,AUT          ,cases     ,      5901.0 ,  107.112503056199     ,2021-01-11 ,  544981.0 ,First Wave       ,  660.6091978831847      ,2021-01 ,2021Q1
Austria       ,AUT          ,cases     ,     23855.0 ,  439.006773343316     ,2021-01-11 ,  568836.0 ,First Wave       , 2670.535911795182       ,2021-01 ,2021Q1
Austria       ,AUT          ,cases     ,     23126.0 ,  422.763018960525     ,2021-01-11 ,  591962.0 ,First Wave       , 2588.9253194791613      ,2021-01 ,2021Q1
Austria       ,AUT          ,deaths    ,       360.0 ,   79.1477212173211    ,2021-01-11 ,  592322.0 ,First Wave       ,   40.301527069640144    ,2021-01 ,2021Q1
Austria       ,AUT          ,deaths    ,       177.0 ,   40.3015270696401    ,2021-01-11 ,  592499.0 ,First Wave       ,   19.8149174759064      ,2021-01 ,2021Q1
Austria       ,AUT          ,deaths    ,        33.0 ,    8.73199753175537   ,2021-01-11 ,  592532.0 ,First Wave       ,    3.6943066480503464   ,2021-01 ,2021Q1
Austria       ,AUT          ,deaths    ,         8.0 ,    1.90312766717745   ,2021-01-11 ,  592540.0 ,First Wave       ,    0.8955894904364476   ,2021-01 ,2021Q1
Austria       ,AUT          ,deaths    ,        73.0 ,   16.7923029456834    ,2021-01-11 ,  592613.0 ,First Wave       ,    8.172254100232584    ,2021-01 ,2021Q1
Austria       ,AUT          ,deaths    ,        98.0 ,   23.1733780650431    ,2021-01-11 ,  592711.0 ,First Wave       ,   10.970971257846482    ,2021-01 ,2021Q1
Austria       ,AUT          ,cases     ,     10165.0 ,  236.334871657548     ,2021-01-18 ,  602876.0 ,First Wave       , 1137.9583962858114      ,2021-01 ,2021Q1
Austria       ,AUT          ,cases     ,     20788.0 ,  482.655566133463     ,2021-01-18 ,  623664.0 ,First Wave       , 2327.189290899109       ,2021-01 ,2021Q1
Austria       ,AUT          ,cases     ,      1685.0 ,   45.999715202542     ,2021-01-18 ,  625349.0 ,First Wave       ,  188.63353642317676     ,2021-01 ,2021Q1
Austria       ,AUT          ,cases     ,      8065.0 ,  156.347535292943     ,2021-01-18 ,  633414.0 ,First Wave       ,  902.8661550462438      ,2021-01 ,2021Q1
Austria       ,AUT          ,cases     ,     34574.0 ,  654.10497920889      ,2021-01-18 ,  667988.0 ,First Wave       , 3870.5138802937176      ,2021-01 ,2021Q1
Austria       ,AUT          ,deaths    ,       297.0 ,   73.5502869020933    ,2021-01-18 ,  668285.0 ,First Wave       ,   33.24875983245312     ,2021-01 ,2021Q1
Austria       ,AUT          ,deaths    ,       215.0 ,   43.8838850313859    ,2021-01-18 ,  668500.0 ,First Wave       ,   24.06896755547953     ,2021-01 ,2021Q1
Austria       ,AUT          ,deaths    ,        22.0 ,    6.15717774675058   ,2021-01-18 ,  668522.0 ,First Wave       ,    2.462871098700231    ,2021-01 ,2021Q1
Austria       ,AUT          ,deaths    ,         7.0 ,    1.67923029456834   ,2021-01-18 ,  668529.0 ,First Wave       ,    0.7836408041318917   ,2021-01 ,2021Q1
Austria       ,AUT          ,deaths    ,        91.0 ,   18.3595845539472    ,2021-01-18 ,  668620.0 ,First Wave       ,   10.18733045371459     ,2021-01 ,2021Q1
Austria       ,AUT          ,cases     ,      9513.0 ,  220.292624910105     ,2021-01-25 ,  678133.0 ,First Wave       , 1064.9678528152408      ,2021-01 ,2021Q1
Austria       ,AUT          ,cases     ,     17616.0 ,  429.927734884017     ,2021-01-25 ,  695749.0 ,First Wave       , 1972.0880579410577      ,2021-01 ,2021Q1
Austria       ,AUT          ,cases     ,      1002.0 ,   30.0806120100342    ,2021-01-25 ,  696751.0 ,First Wave       ,  112.17258367716506     ,2021-01 ,2021Q1
Austria       ,AUT          ,cases     ,      9436.0 ,  195.921395901603     ,2021-01-25 ,  706187.0 ,First Wave       , 1056.34780396979        ,2021-01 ,2021Q1
Austria       ,AUT          ,cases     ,     56501.0 , 1019.57266051874      ,2021-01-25 ,  762688.0 ,First Wave       , 6325.212724893716       ,2021-01 ,2021Q1
Austria       ,AUT          ,deaths    ,       292.0 ,   65.9377762333835    ,2021-01-25 ,  762980.0 ,First Wave       ,   32.689016400930335    ,2021-01 ,2021Q1
Austria       ,AUT          ,deaths    ,       207.0 ,   47.2423456205226    ,2021-01-25 ,  763187.0 ,First Wave       ,   23.17337806504308     ,2021-01 ,2021Q1
Austria       ,AUT          ,deaths    ,        15.0 ,    4.14210139326857   ,2021-01-25 ,  763202.0 ,First Wave       ,    1.6792302945683393   ,2021-01 ,2021Q1
Austria       ,AUT          ,deaths    ,        27.0 ,    3.8062553343549    ,2021-01-25 ,  763229.0 ,First Wave       ,    3.0226145302230107   ,2021-01 ,2021Q1
Austria       ,AUT          ,deaths    ,       149.0 ,   26.8676847130934    ,2021-01-25 ,  763378.0 ,First Wave       ,   16.680354259378838    ,2021-01 ,2021Q1
Austria       ,AUT          ,cases     ,      9119.0 ,  208.582792322649     ,2021-02-01 ,  772497.0 ,First Wave       , 1020.8600704112458      ,2021-02 ,2021Q1
Austria       ,AUT          ,cases     ,     16822.0 ,  385.52888589563      ,2021-02-01 ,  789319.0 ,First Wave       , 1883.2008010152404      ,2021-02 ,2021Q1
Austria       ,AUT          ,cases     ,       679.0 ,   18.8185741677959    ,2021-02-01 ,  789998.0 ,First Wave       ,   76.0131580007935      ,2021-02 ,2021Q1
Austria       ,AUT          ,cases     ,     11306.0 ,  232.20396513291      ,2021-02-01 ,  801304.0 ,First Wave       , 1265.6918473593096      ,2021-02 ,2021Q1
Austria       ,AUT          ,cases     ,     78822.0 , 1514.92320767914      ,2021-02-01 ,  880126.0 ,First Wave       , 8824.01935189771        ,2021-02 ,2021Q1
