Country       ,Response_measure                            ,date_start ,date_end   ,stringency_score    ,intervention_duration ,intervention_category ,stringency_category
Finland       ,StayHomeRiskGPartial                        ,2020-06-23 ,2021-07-01 , 20.0               ,                  373 ,Lockdown              ,Low
Finland       ,Teleworking                                 ,2020-03-18 ,2020-07-31 , 20.0               ,                  135 ,Workplace             ,Low
Finland       ,TeleworkingPartial                          ,2020-08-13 ,2022-02-27 , 20.0               ,                  563 ,Workplace             ,Low
France        ,BanOnAllEvents                              ,2020-10-16 ,2021-06-29 , 75.0               ,                  256 ,Events                ,High
France        ,ClosDaycare                                 ,2020-03-16 ,2020-06-01 , 20.0               ,                   77 ,Education             ,Low
France        ,ClosDaycare                                 ,2021-04-06 ,2021-04-26 , 20.0               ,                   20 ,Education             ,Low
France        ,ClosDaycarePartial                          ,2020-06-02 ,2020-06-22 , 20.0               ,                   20 ,Education             ,Low
France        ,ClosHigh                                    ,2020-10-27 ,2021-01-24 , 20.0               ,                   89 ,Education             ,Low
France        ,ClosHighPartial                             ,2020-03-16 ,2020-06-22 , 20.0               ,                   98 ,Education             ,Low
France        ,ClosHighPartial                             ,2021-01-25 ,2021-09-03 , 20.0               ,                  221 ,Education             ,Low
France        ,ClosPrim                                    ,2021-04-06 ,2021-04-26 , 20.0               ,                   20 ,Education             ,Low
France        ,ClosPubAny                                  ,2020-03-16 ,2020-06-01 , 20.0               ,                   77 ,Public Space          ,Low
France        ,ClosPubAnyPartial                           ,2020-06-02 ,2020-06-22 , 20.0               ,                   20 ,Public Space          ,Low
France        ,ClosPubAnyPartial                           ,2020-10-28 ,2022-03-13 , 20.0               ,                  501 ,Public Space          ,Low
France        ,ClosSec                                     ,2021-04-06 ,2021-05-02 , 20.0               ,                   26 ,Education             ,Low
France        ,ClosSecPartial                              ,2020-05-11 ,2020-06-22 , 20.0               ,                   42 ,Education             ,Low
France        ,ClosSecPartial                              ,2021-05-03 ,2021-09-03 , 20.0               ,                  123 ,Education             ,Low
France        ,EntertainmentVenues                         ,2020-03-16 ,2020-06-01 , 20.0               ,                   77 ,Public Space          ,Low
France        ,EntertainmentVenues                         ,2020-10-28 ,2021-05-18 , 20.0               ,                  202 ,Public Space          ,Low
France        ,EntertainmentVenuesPartial                  ,2020-06-02 ,2020-06-22 , 20.0               ,                   20 ,Public Space          ,Low
France        ,EntertainmentVenuesPartial                  ,2021-05-19 ,2022-03-13 , 20.0               ,                  298 ,Public Space          ,Low
France        ,GymsSportsCentres                           ,2020-03-16 ,2020-06-22 , 20.0               ,                   98 ,Public Space          ,Low
France        ,GymsSportsCentres                           ,2020-10-28 ,2021-05-18 , 20.0               ,                  202 ,Public Space          ,Low
France        ,GymsSportsCentresPartial                    ,2021-05-19 ,2022-03-13 , 20.0               ,                  298 ,Public Space          ,Low
France        ,IndoorOver1000                              ,2020-02-29 ,2020-10-15 , 20.0               ,                  229 ,Gathering             ,Low
France        ,IndoorOver1000                              ,2021-06-30 ,2022-02-16 , 20.0               ,                  231 ,Gathering             ,Low
France        ,MasksMandatoryAllSpaces                     ,2020-10-29 ,2021-06-16 , 85.0               ,                  230 ,Masks                 ,High
France        ,MasksMandatoryAllSpacesPartial              ,2021-06-17 ,2022-02-01 , 42.5               ,                  229 ,Masks                 ,Low
France        ,MasksMandatoryClosedSpaces                  ,2020-07-20 ,2020-10-28 , 20.0               ,                  100 ,Masks                 ,Low
France        ,MasksMandatoryClosedSpaces                  ,2022-02-02 ,2022-02-27 , 20.0               ,                   25 ,Masks                 ,Low
France        ,MasksMandatoryClosedSpacesPartial           ,2020-05-11 ,2020-07-19 , 20.0               ,                   69 ,Masks                 ,Low
France        ,MasksMandatoryClosedSpacesPartial           ,2022-02-28 ,2022-05-15 , 20.0               ,                   76 ,Masks                 ,Low
France        ,MasksVoluntaryAllSpaces                     ,2020-05-11 ,2020-07-19 , 20.0               ,                   69 ,Masks                 ,Low
France        ,MasksVoluntaryClosedSpaces                  ,2022-06-29 ,2022-07-31 , 20.0               ,                   32 ,Masks                 ,Low
France        ,MasksVoluntaryClosedSpacesPartial           ,2022-05-16 ,2022-06-28 , 20.0               ,                   43 ,Masks                 ,Low
France        ,MassGather50                                ,2020-10-16 ,2021-06-29 , 20.0               ,                  256 ,Gathering             ,Low
France        ,MassGather50Partial                         ,2020-09-18 ,2020-10-15 , 20.0               ,                   27 ,Gathering             ,Low
France        ,MassGatherAll                               ,2020-02-29 ,2020-09-17 , 20.0               ,                  201 ,Gathering             ,Low
France        ,MassGatherAll                               ,2020-10-16 ,2021-06-29 , 20.0               ,                  256 ,Gathering             ,Low
France        ,MassGatherAllPartial                        ,2020-09-18 ,2020-10-15 , 20.0               ,                   27 ,Gathering             ,Low
France        ,MassGatherAllPartial                        ,2021-06-30 ,2022-02-16 , 20.0               ,                  231 ,Gathering             ,Low
France        ,NonEssentialShops                           ,2020-10-29 ,2020-11-28 , 55.00000000000001  ,                   30 ,Business              ,Medium
France        ,NonEssentialShopsPartial                    ,2020-11-29 ,2021-05-18 , 27.500000000000004 ,                  170 ,Business              ,Low
France        ,OutdoorOver1000                             ,2020-03-13 ,2020-07-11 , 20.0               ,                  120 ,Gathering             ,Low
France        ,OutdoorOver1000                             ,2021-06-30 ,2022-02-16 , 20.0               ,                  231 ,Gathering             ,Low
