,country,date,weekly_count,indicator,stringency_score
379,Bulgaria,2021-02-15,231.0,deaths,
380,Bulgaria,2021-02-15,585.0,deaths,
381,Bulgaria,2021-02-15,56.0,deaths,
382,Bulgaria,2021-02-15,516.0,deaths,
383,Bulgaria,2021-02-15,863.0,deaths,
384,Bulgaria,2021-02-22,10267.0,cases,
385,Bulgaria,2021-02-22,5115.0,cases,
386,Bulgaria,2021-02-22,484.0,cases,
387,Bulgaria,2021-02-22,10637.0,cases,
388,Bulgaria,2021-02-22,13826.0,cases,
389,Bulgaria,2021-02-22,328.0,deaths,
390,Bulgaria,2021-02-22,458.0,deaths,
391,Bulgaria,2021-02-22,29.0,deaths,
392,Bulgaria,2021-02-22,464.0,deaths,
393,Bulgaria,2021-02-22,762.0,deaths,
394,Bulgaria,2021-03-01,13105.0,cases,20.0
395,Bulgaria,2021-03-01,4080.0,cases,20.0
396,Bulgaria,2021-03-01,699.0,cases,20.0
397,Bulgaria,2021-03-01,13116.0,cases,20.0
398,Bulgaria,2021-03-01,11702.0,cases,20.0
399,Bulgaria,2021-03-01,426.0,deaths,20.0
400,Bulgaria,2021-03-01,348.0,deaths,20.0
401,Bulgaria,2021-03-01,24.0,deaths,20.0
402,Bulgaria,2021-03-01,546.0,deaths,20.0
403,Bulgaria,2021-03-01,681.0,deaths,20.0
404,Bulgaria,2021-12-27,11365.0,cases,
405,Bulgaria,2021-12-27,1813.0,cases,
406,Bulgaria,2021-12-27,273.0,deaths,
407,Bulgaria,2021-12-27,45.0,deaths,
408,Bulgaria,2022-01-03,30517.0,cases,
409,Bulgaria,2022-01-03,11538.0,cases,
410,Bulgaria,2022-01-03,1342.0,cases,
411,Bulgaria,2022-01-03,533.0,deaths,
412,Bulgaria,2022-01-03,188.0,deaths,
413,Bulgaria,2022-01-03,43.0,deaths,
414,Bulgaria,2022-01-10,39528.0,cases,
415,Bulgaria,2022-01-10,9388.0,cases,
416,Bulgaria,2022-01-10,1148.0,cases,
417,Bulgaria,2022-01-10,526.0,deaths,
418,Bulgaria,2022-01-10,157.0,deaths,
419,Bulgaria,2022-01-10,30.0,deaths,
420,Bulgaria,2022-01-17,59152.0,cases,
421,Bulgaria,2022-01-17,7351.0,cases,
422,Bulgaria,2022-01-17,1052.0,cases,
423,Bulgaria,2022-01-17,594.0,deaths,
424,Bulgaria,2022-01-17,136.0,deaths,
425,Bulgaria,2022-01-17,33.0,deaths,
426,Bulgaria,2022-01-24,61831.0,cases,
427,Bulgaria,2022-01-24,4690.0,cases,
428,Bulgaria,2022-01-24,485.0,deaths,
429,Bulgaria,2022-01-24,127.0,deaths,
430,Bulgaria,2022-01-31,54043.0,cases,
431,Bulgaria,2022-01-31,4082.0,cases,
432,Bulgaria,2022-01-31,607.0,deaths,
433,Bulgaria,2022-01-31,90.0,deaths,
434,Bulgaria,2022-02-07,42030.0,cases,
435,Bulgaria,2022-02-07,3667.0,cases,
436,Bulgaria,2022-02-07,631.0,deaths,
437,Bulgaria,2022-02-07,67.0,deaths,
438,Bulgaria,2022-02-14,31128.0,cases,
439,Bulgaria,2022-02-14,3837.0,cases,
440,Bulgaria,2022-02-14,639.0,deaths,
441,Bulgaria,2022-02-14,64.0,deaths,
442,Bulgaria,2022-02-21,21383.0,cases,
443,Bulgaria,2022-02-21,2421.0,cases,
444,Bulgaria,2022-02-21,460.0,deaths,
445,Bulgaria,2022-02-21,53.0,deaths,
446,Bulgaria,2022-02-28,13015.0,cases,
447,Bulgaria,2022-02-28,2354.0,cases,
448,Bulgaria,2022-02-28,353.0,deaths,
449,Bulgaria,2022-02-28,79.0,deaths,
